MatchId,Venue,PlayerName,Rating,PassAccuracy
tottenhamwolverhamptonwanderersbradfriedel,Home,Brad Friedel ,6.7,83.3
tottenhamwolverhamptonwandererskylewalker,Home,Kyle Walker ,7.27,83.3
tottenhamwolverhamptonwanderersbenoitassouekotto,Home,Benoit Assou-Ekotto (80′),7.15,79.7
tottenhamwolverhamptonwanderersaaronlennon,Home,Aaron Lennon (73′),6.55,90.6
tottenhamwolverhamptonwanderersmichaeldawson,Home,Michael Dawson ,7.89,77.1
tottenhamwolverhamptonwanderersscottparker,Home,Scott Parker ,6.66,86.5
tottenhamwolverhamptonwandererslukamodric,Home,Luka Modric ,8.59,84.9
tottenhamwolverhamptonwanderersyouneskaboul,Home,Younes Kaboul ,7.21,90.3
tottenhamwolverhamptonwanderersemmanueladebayor,Home,Emmanuel Adebayor ,6.24,77.8
tottenhamwolverhamptonwanderersrafaelvandervaart,Home,Rafael van der Vaart ,6.69,88.4
tottenhamwolverhamptonwanderersgarethbale,Home,Gareth Bale ,7.44,84.4
tottenhamwolverhamptonwanderersjermaindefoe,Home,Jermain Defoe (73′),6.15,66.7
tottenhamwolverhamptonwanderersdannyrose,Home,Danny Rose (80′),6.12,75
tottenhamwolverhamptonwandererssebastienbassong,Home,Sebastien Bassong ,null,0
tottenhamwolverhamptonwanderersnikokranjcar,Home,Niko Kranjcar ,null,0
tottenhamwolverhamptonwandererscarlocudicini,Home,Carlo Cudicini ,null,0
tottenhamwolverhamptonwanderersromanpavlyuchenko,Home,Roman Pavlyuchenko ,null,0
tottenhamwolverhamptonwanderersjakelivermore,Home,Jake Livermore ,null,0
tottenhamwolverhamptonwandererswaynehennessey,Away,Wayne Hennessey ,7.67,26.8
tottenhamwolverhamptonwandererskevinfoley,Away,Kevin Foley ,6.63,73.7
tottenhamwolverhamptonwanderersstephenward,Away,Stephen Ward ,6.57,58.1
tottenhamwolverhamptonwanderersmichaelkightly,Away,Michael Kightly ,6.5,80
tottenhamwolverhamptonwanderersrogerjohnson,Away,Roger Johnson ,7.6,71.4
tottenhamwolverhamptonwandererskarlhenry,Away,Karl Henry ,6.91,75.9
tottenhamwolverhamptonwanderersmatthewjarvis,Away,Matthew Jarvis (85′),7.06,81
tottenhamwolverhamptonwandererschristopheberra,Away,Christophe Berra ,6.66,37.5
tottenhamwolverhamptonwanderersdavidedwards,Away,David Edwards (80′),6.68,72.4
tottenhamwolverhamptonwanderersstevenfletcher,Away,Steven Fletcher ,7.56,43.3
tottenhamwolverhamptonwanderersemmanuelfrimpong,Away,Emmanuel Frimpong (67′),7.45,88.9
tottenhamwolverhamptonwanderersgeorgeelokobi,Away,George Elokobi (85′),6.05,50
tottenhamwolverhamptonwanderersstephenhunt,Away,Stephen Hunt (67′),6.25,85.7
tottenhamwolverhamptonwanderersnenadmilijas,Away,Nenad Milijas (80′),6.12,66.7
tottenhamwolverhamptonwandererskevindoyle,Away,Kevin Doyle ,null,0
tottenhamwolverhamptonwanderersdorusdevries,Away,Dorus de Vries ,null,0
tottenhamwolverhamptonwandererssylvanebanksblake,Away,Sylvan Ebanks-Blake ,null,0
tottenhamwolverhamptonwanderersrichardstearman,Away,Richard Stearman ,null,0
swanseawiganmichelvorm,Home,Michel Vorm ,7.84,57.1
swanseawiganangelrangel,Home,Angel Rangel ,7.12,86.4
swanseawigankemyagustien,Home,Kemy Agustien ,6.53,85.1
swanseawiganneiltaylor,Home,Neil Taylor ,6.46,88.9
swanseawiganstevencaulker,Home,Steven Caulker ,6.83,90.2
